barcode,status
10001,in-stock
10002,in-stock
10003,personal-use
10004,sold
10005,in-stock
10006,consignment
10007,sold
10008,in-stock
10009,in-stock
10010,in-stock
10011,in-stock
10012,in-stock
10013,in-stock
10014,in-stock
10015,personal-use
10016,in-stock
10017,in-stock
10018,in-stock
10019,in-stock
10020,in-stock
10021,in-stock
10022,in-stock
10023,in-stock
10024,in-stock
10025,consignment
10026,consignment
10027,inventory-reserved
10028,in-stock
10029,in-stock
10030,wish-list
10031,in-stock
10032,in-stock
10033,consignment
10034,wish-list
10035,in-stock
10036,in-stock
10037,in-stock
10038,in-stock
10039,in-stock
10040,in-stock
10041,in-stock
10042,in-stock
10043,in-stock
10044,in-stock
10045,in-stock
10046,in-stock
10047,in-stock
10048,consignment
10049,consignment
10050,in-stock
10051,in-stock
10052,in-stock
10053,in-stock
10054,consignment
10055,consignment
10056,in-stock
10057,in-stock
10058,inventory-reserved
10059,in-stock
10060,in-stock
10061,in-stock
10062,in-stock
10063,in-stock
10064,in-stock
10065,wish-list
10066,in-stock
10067,consignment
10068,in-stock
10069,in-stock
10070,in-stock
10071,in-stock
10072,missing
10073,consignment
10074,consignment
10075,fix-return
10076,personal-use
10077,in-stock
10078,in-stock
10079,in-stock
10080,other
10081,in-stock
10082,consignment
10083,in-stock
10084,in-stock
10085,in-stock
10086,in-stock
10087,in-stock
10088,in-stock
10089,in-stock
10090,consignment
10091,inventory-reserved
10092,in-stock
10093,in-stock
10094,in-stock
10095,in-stock
10096,consignment
10097,other
10098,consignment
10099,in-stock
10100,in-stock
10101,sold
10102,in-stock
10103,sold
10104,barter
10105,in-stock
10106,in-stock
10107,in-stock
10108,inventory-reserved
10109,in-stock
10110,in-stock
10111,in-stock
10112,personal-use
10113,in-stock
10114,in-stock
10115,in-stock
10116,in-stock
10117,in-stock
10118,in-stock
10119,in-stock
10120,in-stock
10121,returned
10122,in-stock
10123,sold
10124,in-stock
10125,consignment
10126,in-stock
10127,wish-list
10128,in-stock
10129,in-stock
10130,in-stock
10131,returned
10132,in-stock
10133,in-stock
10134,in-stock
10135,in-stock
10136,returned
10137,in-stock
10138,in-stock
10139,in-stock
10140,consignment
10141,in-stock
10142,in-stock
10143,in-stock
10144,in-stock
10145,consignment
10146,in-stock
10147,in-stock
10148,in-stock
10149,in-stock
10150,in-stock
10151,in-stock
10152,in-stock
10153,in-stock
10154,in-stock
10155,in-stock
10156,returned
10157,in-stock
10158,sold
10159,sold
10160,in-stock
10161,consignment
10162,in-stock
10163,in-stock
10164,in-stock
10165,consignment
10166,missing
10167,returned
10168,in-stock
10169,returned
10170,in-stock
10171,in-stock
10172,inventory-reserved
10173,missing
10174,in-stock
10175,in-stock
10176,wish-list
10177,returned
10178,in-stock
10179,in-stock
10180,in-stock
10181,in-stock
10182,sold
10183,missing
10184,in-stock
10185,wish-list
10186,in-stock
10187,in-stock
10188,in-stock
10189,in-stock
10190,fix-return
10191,consignment
10192,in-stock
10193,in-stock
10194,in-stock
10195,in-stock
10196,in-stock
10197,returned
10198,inventory-reserved
10199,sold
10200,in-stock
10201,inventory-reserved
10202,in-stock
10203,in-stock
10204,in-stock
10205,in-stock
10206,in-stock
10207,other
10208,in-stock
10209,in-stock
10210,in-stock
10211,in-stock
10212,in-stock
10213,returned
10214,in-stock
10215,in-stock
10216,returned
10217,in-stock
10218,in-stock
10219,in-stock
10220,returned
10221,in-stock
10222,in-stock
10223,sold
10224,in-stock
10225,in-stock
10226,returned
10227,in-stock
10228,in-stock
10229,barter
10230,in-stock
10231,in-stock
10232,in-stock
10233,wish-list
10234,in-stock
10235,consignment
10236,in-stock
10237,consignment
10238,in-stock
10239,in-stock
10240,in-stock
10241,in-stock
10242,consignment
10243,in-stock
10244,in-stock
10245,in-stock
10246,returned
10247,returned
10248,in-stock
10249,in-stock
10250,in-stock
10251,sold
10252,in-stock
10253,in-stock
10254,in-stock
10255,in-stock
10256,in-stock
10257,in-stock
10258,in-stock
10259,in-stock
10260,in-stock
10261,in-stock
10262,in-stock
10263,personal-use
10264,in-stock
10265,in-stock
10266,sold
10267,other
10268,returned
10269,in-stock
10270,in-stock
10271,consignment
10272,personal-use
10273,in-stock
10274,sold
10275,in-stock
10276,in-stock
10277,in-stock
10278,sold
10279,in-stock
10280,in-stock
10281,missing
10282,consignment
10283,in-stock
10284,in-stock
10285,in-stock
10286,in-stock
10287,in-stock
10288,in-stock
10289,in-stock
10290,in-stock
10291,in-stock
10292,inventory-reserved
10293,personal-use
10294,in-stock
10295,returned
10296,consignment
10297,returned
10298,in-stock
10299,in-stock
10300,in-stock
10301,wish-list
10302,barter
10303,in-stock
10304,in-stock
10305,in-stock
10306,in-stock
10307,in-stock
10308,in-stock
10309,in-stock
10310,in-stock
10311,in-stock
10312,in-stock
10313,barter
10314,in-stock
10315,in-stock
10316,in-stock
10317,in-stock
10318,in-stock
10319,in-stock
10320,other
10321,in-stock
10322,in-stock
10323,in-stock
10324,in-stock
10325,in-stock
10326,wish-list
10327,in-stock
10328,in-stock
10329,in-stock
10330,in-stock
10331,in-stock
10332,in-stock
10333,in-stock
10334,in-stock
10335,in-stock
10336,in-stock
10337,inventory-reserved
10338,inventory-reserved
10339,wish-list
10340,personal-use
10341,in-stock
10342,sold
10343,in-stock
10344,in-stock
10345,in-stock
10346,in-stock
10347,in-stock
10348,returned
10349,sold
10350,sold
10351,sold
10352,in-stock
10353,in-stock
10354,in-stock
10355,in-stock
10356,returned
10357,sold
10358,consignment
10359,returned
10360,in-stock
10361,in-stock
10362,returned
10363,returned
10364,in-stock
10365,in-stock
10366,returned
10367,in-stock
10368,in-stock
10369,in-stock
10370,in-stock
10371,inventory-reserved
10372,missing
10373,in-stock
10374,consignment
10375,inventory-reserved
10376,in-stock
10377,in-stock
10378,missing
10379,in-stock
10380,sold
10381,in-stock
10382,in-stock
10383,in-stock
10384,in-stock
10385,in-stock
10386,in-stock
10387,in-stock
10388,in-stock
10389,in-stock
10390,in-stock
10391,in-stock
10392,returned
10393,in-stock
10394,sold
10395,in-stock
10396,missing
10397,in-stock
10398,consignment
10399,in-stock
10400,consignment
10401,in-stock
10402,in-stock
10403,in-stock
10404,consignment
10405,returned
